ARTISTAS RECIENTEMENTE AÑADIDOS,,,
APP,TITULO,TIPO,FECHA EN LA QUE SE AÑADIÓ
SPOTIFY,ST. VICENT,ARTISTA,HACE 1 SEMANA
SPOTIFY,PATTI SMITH,ARTISTA,HACE 1 SEMANA
SPOTIFY,CHARLIE RICH,ARTISTA,HACE 1 SEMANA
SPOTIFY,WU-TANG CLAN,ARTISTA,1 SEMANA
SPOTIFY,KALIFA,ARTISTA,1 SEMANA
SPOTIFY,FLORENCE + THE MACHINE,ARTISTA,1 SEMANA
SPOTIFY,YEBBA,ARTISTA,1 SEMANA
SPOTIFY,MAGGIE ROGERS,ARTISTA,1 SEMANA
SPOTIFY,THE ROOTS,ARTISTA,1 SEMANA
SPOTIFY,ELLA FITSGERALD,ARTISTA,6 DÍAS
SPOTIFY,DAVID BYRNE,ARTISTA,6 DÍAS
SPOTIFY,ENTRE LOS ARCHIVOS,PODCAST,5 DÍAS
SPOTIFY,CHICO TRUJILLO,ARTISTA,4 DÍAS
SPOTIFY,HIGH FIDELITY SOUNDTRACK,LISTA,8 HORAS
SPOTIFY,BARBARA STANT,ARTISTA,7 HORAS